article id,study id,author,title,analysis_year,primary_term,primary_domain,hierarchy_score,coupling_score,included_studies_numeric,data_sources_labels,model_families_labels,standards_labels,computing_labels,domains_labels,functions_labels,validation_methods_labels,maturity_labels,barriers_labels
5,1,"AboArab, M. A.; Potsika, V. T.; Pleouras, D. S.; Fotiadis, D. I.","Computational modeling of drug-eluting balloons in peripheral artery disease: Mechanisms, optimization, and translational insights",2025.0,Digital twin,Cardiovascular,3.0,2.0,78.0,Imaging; Simulation / literature,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud,Cardiovascular; Pharmacology / drug development,Treatment / therapy planning; Prediction / prognosis / risk,Empirical / patient-data validation; Simulation / benchmark comparison,Prototype / proof of concept,Interoperability / standards; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
9,1,"Adibi, S.; Rajabifard, A.; Shojaei, D.; Wickramasinghe, N.",Enhancing Healthcare through Sensor-Enabled Digital Twins in Smart Environments: A Comprehensive Analysis,2024.0,Digital twin,Cardiovascular,4.0,3.0,,Imaging; Wearables / sensors / IoT; EHR / clinical records; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,HL7; DICOM,Cloud; Edge; Hybrid cloud-edge,Cardiovascular; Surgery / orthopedics / dentistry; General / multisystem; Pharmacology / drug development,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Simulation / benchmark comparison; Conceptual / no model evaluation,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration
15,1,"Akbarialiabad, H.; Pasdar, A.; Murrell, D. F.","Digital twins in dermatology, current status, and the road ahead",2024.0,Digital twin,Dermatology / ophthalmology,4.0,3.0,0.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud; Edge; Hybrid cloud-edge,Dermatology / ophthalmology,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,,Theoretical / conceptual,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration
51,1,"Banoub, R. G.; Sanghvi, H.; Gill, G. S.; Paredes, A. A.; Bains, H. K.; Patel, A.; Agarwal, A.; Gupta, S.",Enhancing Ophthalmic Care: The Transformative Potential of Digital Twins in Healthcare,2024.0,Digital twin,Dermatology / ophthalmology,4.0,3.0,,Imaging; Wearables / sensors / IoT; Omics / genomics; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud,Dermatology / ophthalmology,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection; Education / training,Empirical / patient-data validation,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
55,1,"Bartusik-Aebisher, D.; Rog??, K.; Aebisher, D.",Artificial Intelligence and ECG: A New Frontier in Cardiac Diagnostics and Prevention,2025.0,Patient digital twin,Cardiovascular,4.0,3.0,152.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Laboratory / biomarkers; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,HL7; FHIR; DICOM; OMOP,Cloud; Edge; Hybrid cloud-edge; Federated / distributed,Cardiovascular; Neurology / neuroscience,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection; Monitoring; Decision support,Empirical / patient-data validation; Sensitivity / uncertainty analysis,Prototype / proof of concept; Deployed / operational,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Validation / evidence / reproducibility
92,1,"Cappon, G.; Facchinetti, A.",Digital Twins in Type 1 Diabetes: A Systematic Review,2024.0,Digital twin,Diabetes / endocrine,4.0,3.0,8.0,Wearables / sensors / IoT; EHR / clinical records; Simulation / literature; Laboratory / biomarkers; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,,,Diabetes / endocrine,Treatment / therapy planning; Prediction / prognosis / risk,Empirical / patient-data validation; Simulation / benchmark comparison; Cross-validation / holdout; Conceptual / no model evaluation,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Data quality / availability / integration; Validation / evidence / reproducibility
100,1,"Chaparro-C?rdenas, S. L.; Ramirez-Bautista, J. A.; Terven, J.; C?rdova-Esparza, D. M.; Romero-Gonzalez, J. A.; Ram?rez-Pedraza, A.; Chavez-Urbiola, E. A.",A Technological Review of Digital Twins and Artificial Intelligence for Personalized and Predictive Healthcare,2025.0,Digital twin,Cardiovascular,5.0,3.0,,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid; Simulation,,Cloud; Edge; Hybrid cloud-edge; Federated / distributed,Cardiovascular; Oncology; Surgery / orthopedics / dentistry; General / multisystem; Pharmacology / drug development; Neurology / neuroscience,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Simulation / benchmark comparison; Sensitivity / uncertainty analysis,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
113,1,"Chumnanvej, S.; Tripathi, S.",Assessing the benefits of digital twins in neurosurgery: a systematic review,2024.0,Digital twin,Surgery / orthopedics / dentistry,3.0,3.0,25.0,Imaging; Simulation / literature,Mechanistic / physics-based; AI / machine learning; Hybrid,,,Surgery / orthopedics / dentistry; Neurology / neuroscience,Treatment / therapy planning; Prediction / prognosis / risk; Education / training,Simulation / benchmark comparison; Sensitivity / uncertainty analysis,Deployed / operational,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Data quality / availability / integration
124,1,"Coorey, G.; Figtree, G. A.; Fletcher, D. F.; Snelson, V. J.; Vernon, S. T.; Winlaw, D.; Grieve, S. M.; McEwan, A.; Yang, J. Y. H.; Qian, P.; O'Brien, K.; Orchard, J.; Kim, J.; Patel, S.; Redfern, J.",The health digital twin to tackle cardiovascular disease-a review of an emerging interdisciplinary field,2022.0,Digital twin,Cardiovascular,5.0,3.0,88.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Simulation / literature; Omics / genomics,Mechanistic / physics-based; AI / machine learning; Hybrid; Statistical / probabilistic; Simulation,,Cloud; Edge; Hybrid cloud-edge,Cardiovascular,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Sensitivity / uncertainty analysis,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
132,1,"D'Orsi, L.; Capasso, B.; Lamacchia, G.; Pizzichini, P.; Ferranti, S.; Liverani, A.; Fontana, C.; Panunzi, S.; De Gaetano, A.; Lo Presti, E.",Recent Advances in Artificial Intelligence to Improve Immunotherapy and the Use of Digital Twins to Identify Prognosis of Patients with Solid Tumors,2024.0,Digital twin,Oncology,5.0,3.0,96.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Laboratory / biomarkers,Mechanistic / physics-based; AI / machine learning; Hybrid; Statistical / probabilistic,,Cloud,Oncology,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Simulation / benchmark comparison; Sensitivity / uncertainty analysis,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
147,1,"de Oliveira El-Warrak, L.; Miceli de Farias, C.",Could digital twins be the next revolution in healthcare?,2025.0,Digital twin,General / multisystem,,3.0,13.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Laboratory / biomarkers; Lifestyle / environment,,HL7; FHIR; DICOM; OMOP,Cloud; Hybrid cloud-edge,General / multisystem,Treatment / therapy planning; Personalized care; Drug development / trials,Empirical / patient-data validation,Theoretical / conceptual,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Data quality / availability / integration
169,1,"Drummond, D.; Gonsard, A.",Definitions and Characteristics of Patient Digital Twins Being Developed for Clinical Use: Scoping Review,2024.0,Patient digital twin,Cardiovascular,3.0,3.0,86.0,Imaging; Wearables / sensors / IoT; Laboratory / biomarkers,Mechanistic / physics-based; AI / machine learning,,,Cardiovascular; Oncology; Surgery / orthopedics / dentistry; Diabetes / endocrine,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,,Prototype / proof of concept,
183,1,"Espinoza-Vinces, C.; Mart?nez, M. C.; Atorrasagasti-Villar, A.; Rodr?guez, Mdmg; Ezpeleta, D.; Irimia, P.",Artificial intelligence in headache medicine: between automation and the doctor-patient relationship. A systematic review,2025.0,In silico patient / trial,Neurology / neuroscience,5.0,3.0,76.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics,Mechanistic / physics-based; AI / machine learning; Hybrid,HL7; FHIR; DICOM; OMOP,Cloud,Neurology / neuroscience,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Cross-validation / holdout; Sensitivity / uncertainty analysis,Theoretical / conceptual; Prototype / proof of concept; Prospective / clinical study; Deployed / operational,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
185,1,"Faiella, E.; Pileri, M.; Ragone, R.; Grasso, R. F.; Zobel, B. B.; Santucci, D.","Digital twins in radiology: A systematic review of applications, challenges, and future perspectives",2025.0,Digital twin,Cardiovascular,3.0,2.0,24.0,Imaging; Wearables / sensors / IoT; Omics / genomics,Mechanistic / physics-based; AI / machine learning; Hybrid,,,Cardiovascular; Oncology; Surgery / orthopedics / dentistry; Pharmacology / drug development,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection; Education / training,Empirical / patient-data validation,Prototype / proof of concept; Deployed / operational,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
240,1,"Gu, D.; Cao, Y.; Zhou, X.; Zan, Y.; Zhang, X.; Xie, J.; Yu, M.",Digital Twins in the Field of Nursing: A Literature Review,2025.0,Digital twin,Oncology,5.0,3.0,11.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Omics / genomics; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud; Edge; Hybrid cloud-edge,Oncology; General / multisystem; Diabetes / endocrine,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Simulation / benchmark comparison; Conceptual / no model evaluation,,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Data quality / availability / integration; Validation / evidence / reproducibility
284,1,"Huang, Y.; Dai, H.; Xu, J.; Wei, R.; Sun, L.; Guo, Y.; Guo, J.; Bian, J.",Evolution of digital twins in precision health applications: a scoping review study,2024.0,Digital twin,Cardiovascular,3.0,2.0,2.0,Imaging; Wearables / sensors / IoT; Simulation / literature; Laboratory / biomarkers,Mechanistic / physics-based; AI / machine learning; Statistical / probabilistic,,,Cardiovascular; Oncology; Surgery / orthopedics / dentistry; Diabetes / endocrine; Neurology / neuroscience; Pulmonary / respiratory,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,,Prototype / proof of concept,Ethical / legal / regulatory; Clinical adoption / workflow; Data quality / availability / integration
313,1,"John, A.; Alhajj, R.; Rokne, J.",A systematic review of AI as a digital twin for prostate cancer care,2025.0,Digital twin,Oncology,5.0,3.0,52.0,Imaging; Wearables / sensors / IoT; EHR / clinical records; Simulation / literature; Omics / genomics,Mechanistic / physics-based; AI / machine learning; Hybrid,HL7; FHIR; DICOM; OMOP,Cloud; Hybrid cloud-edge,Oncology; Neurology / neuroscience; Pulmonary / respiratory,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Simulation / benchmark comparison; Cross-validation / holdout; Sensitivity / uncertainty analysis; Expert evaluation,Theoretical / conceptual; Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
339,1,"Khan, A.; Milne-Ives, M.; Meinert, E.; Iyawa, G. E.; Jones, R. B.; Josephraj, A. N.",A Scoping Review of Digital Twins in the Context of the Covid-19 Pandemic,2022.0,Digital twin,General / multisystem,5.0,2.0,18.0,,,,Cloud,General / multisystem; Pulmonary / respiratory,,,Theoretical / conceptual,Interoperability / standards; Privacy / security / governance; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration
473,1,"Naik, A.; Nalepa, J.; Wijata, A. M.; Mahon, J.; Mistry, D.; Knowles, A. T.; Dawson, E. A.; Lip, G. Y. H.; Olier, I.; Ortega-Martorell, S.",Artificial intelligence and digital twins for the personalised prediction of hypertension risk,2025.0,Digital twin,Cardiovascular,,2.0,11.0,Omics / genomics; Laboratory / biomarkers; Lifestyle / environment,AI / machine learning,,,Cardiovascular,Prediction / prognosis / risk; Diagnosis / detection,Cross-validation / holdout,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
542,1,"Pinton, P.",Computational models in inflammatory bowel disease,2022.0,Virtual patient,Other / mixed,3.0,2.0,5.0,,Hybrid,,,,Treatment / therapy planning; Prediction / prognosis / risk,,Theoretical / conceptual; Prototype / proof of concept,Interoperability / standards; Computing / scalability / resources
550,1,"Prad?es, G.; Garc?a-Naranjo, A. M.; Mart?nez-Rus, F.; Mart?nez de Fuentes, R.; Romeo-Rubio, M.","EPA Consensus Project Paper: Shifting from the ""Analogic Virtual Patient"" to the ""Digital Virtual Patient"" in Prosthodontics. A Scoping Review",2023.0,Virtual patient,Surgery / orthopedics / dentistry,,3.0,39.0,,Mechanistic / physics-based; AI / machine learning; Hybrid; Simulation,HL7; FHIR; DICOM; OMOP,,Surgery / orthopedics / dentistry,Treatment / therapy planning; Diagnosis / detection,Empirical / patient-data validation; Simulation / benchmark comparison; Cross-validation / holdout; Sensitivity / uncertainty analysis; Expert evaluation,Theoretical / conceptual; Prototype / proof of concept; Deployed / operational,Interoperability / standards; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
574,1,"Riahi, V.; Diouf, I.; Khanna, S.; Boyle, J.; Hassanzadeh, H.",Digital Twins for Clinical and Operational Decision-Making: Scoping Review,2025.0,Digital twin,Cardiovascular,4.0,3.0,86.0,Imaging; EHR / clinical records,Mechanistic / physics-based; AI / machine learning; Statistical / probabilistic; Simulation,,Cloud,Cardiovascular; Oncology; Surgery / orthopedics / dentistry; Diabetes / endocrine,Treatment / therapy planning; Diagnosis / detection; Drug development / trials,,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Computing / scalability / resources; Clinical adoption / workflow; Validation / evidence / reproducibility
578,1,"Ringeval, M.; Etindele Sosso, F. A.; Cousineau, M.; Par?, G.",Advancing Health Care With Digital Twins: Meta-Review of Applications and Implementation Challenges,2025.0,Digital twin,Cardiovascular,4.0,2.0,25.0,Imaging; Wearables / sensors / IoT; Omics / genomics; Laboratory / biomarkers; Lifestyle / environment,,,,Cardiovascular; Oncology; General / multisystem; Pharmacology / drug development; Diabetes / endocrine,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection; Drug development / trials,,Theoretical / conceptual; Prototype / proof of concept; Deployed / operational,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration
585,1,"Rodero, C.; Baptiste, T. M. G.; Barrows, R. K.; Keramati, H.; Sillett, C. P.; Strocchi, M.; Lamata, P.; Niederer, S. A.",A systematic review of cardiac in-silico clinical trials,2023.0,In silico patient / trial,Cardiovascular,3.0,2.0,36.0,Imaging; EHR / clinical records; Simulation / literature,Mechanistic / physics-based; AI / machine learning; Hybrid; Simulation,,,Cardiovascular,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection,Empirical / patient-data validation; Sensitivity / uncertainty analysis,Deployed / operational,Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Validation / evidence / reproducibility
627,1,"Seth, I.; Lim, B.; Lu, P. Y. J.; Xie, Y.; Cuomo, R.; Ng, S. K.; Rozen, W. M.; Sofiadellis, F.",Digital Twins Use in Plastic Surgery: A Systematic Review,2024.0,Digital twin,Surgery / orthopedics / dentistry,4.0,3.0,9.0,Imaging,Mechanistic / physics-based; AI / machine learning; Hybrid,,,Surgery / orthopedics / dentistry,Treatment / therapy planning; Prediction / prognosis / risk; Education / training,Empirical / patient-data validation,Deployed / operational,Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
638,1,"Shen, M. D.; Chen, S. B.; Ding, X. D.",The effectiveness of digital twins in promoting precision health across the entire population: a systematic review,2024.0,Digital twin,Cardiovascular,5.0,3.0,,Imaging; Simulation / literature; Laboratory / biomarkers; Lifestyle / environment,Mechanistic / physics-based; AI / machine learning; Hybrid; Simulation,HL7; FHIR; DICOM; OMOP,High-performance computing,Cardiovascular; Oncology; Surgery / orthopedics / dentistry; General / multisystem; Diabetes / endocrine,Treatment / therapy planning; Prediction / prognosis / risk; Personalized care,Empirical / patient-data validation,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration
639,1,"Shen, S.; Qi, W.; Liu, X.; Zeng, J.; Li, S.; Zhu, X.; Dong, C.; Wang, B.; Shi, Y.; Yao, J.; Jing, L.; Cao, S.; Liang, G.",From virtual to reality: innovative practices of digital twins in tumor therapy,2025.0,Digital twin,Oncology,3.0,2.0,68.0,Imaging; Simulation / literature; Omics / genomics,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud,Oncology; Neurology / neuroscience; Pulmonary / respiratory,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection; Personalized care; Drug development / trials,Simulation / benchmark comparison,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
665,1,"?tef?nig?, S. A.; Cordo?, A. A.; Ivascu, T.; Feier, C. V. I.; Muntean, C.; Stupinean, C. V.; C?linici, T.; Alua?, M.; Bolboac?, S. D.",Advancing Precision Oncology with Digital and Virtual Twins: A Scoping Review,2024.0,Digital twin,Oncology,3.0,3.0,30.0,Imaging,Mechanistic / physics-based; AI / machine learning; Hybrid,,Cloud; Edge; Hybrid cloud-edge; High-performance computing,Oncology; Neurology / neuroscience; Pulmonary / respiratory,Treatment / therapy planning; Diagnosis / detection; Monitoring,,Prototype / proof of concept,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Clinical adoption / workflow; Data quality / availability / integration; Validation / evidence / reproducibility
675,1,"Sun, T.; He, X.; Li, Z.",Digital twin in healthcare: Recent updates and challenges,2023.0,Digital twin,Cardiovascular,3.0,2.0,22.0,Imaging; Omics / genomics; Laboratory / biomarkers,Mechanistic / physics-based; AI / machine learning; Hybrid; Statistical / probabilistic,,Cloud,Cardiovascular; Surgery / orthopedics / dentistry; Pharmacology / drug development; Diabetes / endocrine,Treatment / therapy planning; Prediction / prognosis / risk; Diagnosis / detection; Education / training,Simulation / benchmark comparison,Prototype / proof of concept; Deployed / operational,Interoperability / standards; Privacy / security / governance; Ethical / legal / regulatory; Computing / scalability / resources; Data quality / availability / integration; Validation / evidence / reproducibility
